"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2017","776.47","739.45","776.50","736.09","4.64M","5.24%"
"05/01/2017","737.82","718.70","748.06","716.66","4.80M","2.80%"
"04/01/2017","717.73","723.02","732.87","705.55","3.50M","-0.63%"
"03/01/2017","722.31","710.70","726.67","705.79","4.50M","1.62%"
"02/01/2017","710.79","699.80","719.58","696.92","3.29M","1.94%"
"01/01/2017","697.28","665.92","697.28","665.43","1.69M","4.87%"
"12/01/2016","664.87","670.75","679.90","647.33","2.89M","-0.03%"
"11/01/2016","665.07","675.13","684.12","654.99","2.60M","-1.59%"
"10/01/2016","675.80","687.68","690.93","669.20","2.70M","-1.45%"
"09/01/2016","685.73","674.19","692.17","651.31","2.62M","1.65%"
"08/01/2016","674.63","655.38","679.62","622.14","2.71M","3.43%"
"07/01/2016","652.23","632.26","681.75","632.26","2.86M","3.16%"
"06/01/2016","632.26","618.18","637.46","597.68","2.80M","2.23%"
"05/01/2016","618.44","595.95","627.81","592.43","2.51M","3.35%"
"04/01/2016","598.37","560.64","601.79","554.30","2.66M","6.62%"
"03/01/2016","561.22","560.03","583.53","560.03","3.53M","0.33%"
"02/01/2016","559.37","545.27","573.63","530.23","1.90M","2.59%"
"01/01/2016","545.25","579.03","579.97","513.82","2.65M","-5.83%"
"12/01/2015","579.03","573.39","580.82","556.92","2.55M","1.02%"
"11/01/2015","573.20","607.93","617.93","571.12","2.80M","-5.63%"
"10/01/2015","607.37","563.39","608.01","561.73","2.63M","7.95%"
"09/01/2015","562.64","565.75","576.13","551.47","1.97M","-0.37%"
"08/01/2015","564.75","617.12","619.69","511.13","2.57M","-9.07%"
"07/01/2015","621.06","594.52","641.06","587.33","3.21M","4.72%"
"06/01/2015","593.05","571.15","598.98","567.81","3.16M","4.12%"
"05/01/2015","569.56","560.62","577.03","528.90","2.09M","1.27%"
"04/01/2015","562.40","550.80","572.76","536.87","1.66M","2.04%"
"03/01/2015","551.13","591.75","602.40","544.87","2.22M","-6.99%"
"02/01/2015","592.57","576.07","601.55","553.21","1.14M","2.86%"
"01/01/2015","576.07","545.43","586.76","538.82","2.23M","5.58%"
"12/01/2014","545.63","566.22","582.42","513.06","2.62M","-3.70%"
"11/01/2014","566.58","603.44","608.68","565.10","2.70M","-5.70%"
"10/01/2014","600.84","603.50","627.49","577.79","3.13M","0.34%"
"09/01/2014","598.80","640.69","644.56","594.00","3.37M","-5.95%"
"08/01/2014","636.65","594.66","640.19","592.04","2.53M","6.81%"
"07/01/2014","596.07","578.93","605.78","576.88","2.42M","3.10%"
"06/01/2014","578.13","560.29","582.26","548.47","1.82M","2.87%"
"05/01/2014","562.02","578.45","580.11","508.51","2.07M","-2.76%"
"04/01/2014","578.00","590.93","608.89","556.47","2.15M","-2.29%"
"03/01/2014","591.57","586.65","609.46","563.55","3.56M","0.87%"
"02/01/2014","586.48","555.51","596.40","548.56","2.55M","5.38%"
"01/01/2014","556.52","505.61","564.61","503.04","1.60M","10.28%"
"12/01/2013","504.63","509.13","514.83","499.49","1.97M","-0.62%"
"11/01/2013","507.78","499.21","513.25","495.68","1.96M","2.08%"
"10/01/2013","497.41","491.92","505.74","490.43","1.58M","0.97%"
"09/01/2013","492.63","473.56","492.65","469.30","982.60K","4.22%"
"08/01/2013","472.70","490.90","513.34","462.13","951.10K","-3.89%"
"07/01/2013","491.85","478.98","508.64","475.26","974.40K","2.23%"
"06/01/2013","481.13","518.30","533.15","466.41","1.35M","-7.19%"
"05/01/2013","518.39","474.54","526.58","470.81","1.50M","9.25%"
"04/01/2013","474.51","490.66","518.46","466.56","926.70K","-3.37%"
"03/01/2013","491.04","476.51","500.59","461.61","1.05M","3.47%"
"02/01/2013","474.56","477.11","497.87","459.64","1.15M","-1.09%"
"01/01/2013","479.79","415.50","490.89","413.68","1.83M","15.97%"
"12/01/2012","413.73","377.94","413.73","375.78","1.08M","9.50%"
"11/01/2012","377.82","388.10","390.65","372.39","647.90K","-2.73%"
"10/01/2012","388.42","391.74","400.97","383.07","875.10K","-1.06%"
"09/01/2012","392.57","397.37","405.27","383.87","769.90K","-0.87%"
"08/01/2012","396.02","413.73","437.61","378.17","957.00K","-4.45%"
"07/01/2012","414.48","421.94","432.46","405.07","924.50K","-1.87%"
"06/01/2012","422.37","430.75","441.46","413.58","1.40M","-1.59%"
"05/01/2012","429.20","476.02","492.44","425.65","1.95M","-9.41%"
"04/01/2012","473.77","440.95","478.87","436.67","1.77M","7.42%"
"03/01/2012","441.03","426.48","468.15","422.65","1.95M","4.10%"
"02/01/2012","423.64","388.70","431.11","383.05","1.18M","9.19%"
"01/01/2012","387.97","351.37","393.92","332.28","563.51K","10.36%"
"12/01/2011","351.55","380.47","396.29","346.48","928.64K","-7.65%"
"11/01/2011","380.69","418.77","419.16","375.93","702.59K","-9.53%"
"10/01/2011","420.81","426.43","428.86","399.08","601.84K","-1.59%"
"09/01/2011","427.60","429.49","475.45","424.64","1.08M","0.68%"
"08/01/2011","424.71","404.84","426.29","379.84","755.17K","4.69%"
"07/01/2011","405.70","429.91","434.07","402.20","477.87K","-6.21%"
"06/01/2011","432.54","422.98","461.93","420.88","770.87K","2.65%"
"05/01/2011","421.37","483.30","488.02","371.03","529.24K","-12.23%"
